singer,singerLabel,date_of_birth,place_of_birth,place_of_birthLabel,sex_or_gender,sex_or_genderLabel,image,social_media_followers
http://www.wikidata.org/entity/Q11617,Aaliyah,1979-01-16T00:00:00Z,http://www.wikidata.org/entity/Q18419,Brooklyn,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/Aaliyah-02.jpg,1070000
http://www.wikidata.org/entity/Q11885,Axl Rose,1962-02-06T00:00:00Z,http://www.wikidata.org/entity/Q638187,Lafayette,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Axl%20Rose%20sings%20in%20London%202022.jpg,1359492
http://www.wikidata.org/entity/Q11901,Beck,1970-07-08T00:00:00Z,http://www.wikidata.org/entity/Q65,Los Angeles,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/BeckMSG190718-13%20%2847065153261%29%20%28cropped%29.jpg,326323
http://www.wikidata.org/entity/Q11901,Beck,1970-07-08T00:00:00Z,http://www.wikidata.org/entity/Q65,Los Angeles,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Oliver%20Mark%20-%20Beck%2C%20Hamburg%202000.jpg,326323
http://www.wikidata.org/entity/Q11975,Britney Spears,1981-12-02T00:00:00Z,http://www.wikidata.org/entity/Q846178,McComb,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/Britney%20Spears%202013%20%28Straighten%20Crop%29.jpg,52661
http://www.wikidata.org/entity/Q11975,Britney Spears,1981-12-02T00:00:00Z,http://www.wikidata.org/entity/Q846178,McComb,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/Britney%20Spears%202013%20%28Straighten%20Crop%29.jpg,10000000
http://www.wikidata.org/entity/Q11975,Britney Spears,1981-12-02T00:00:00Z,http://www.wikidata.org/entity/Q846178,McComb,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/Britney%20Spears%202013%20%28Straighten%20Crop%29.jpg,55800000
http://www.wikidata.org/entity/Q49001,Whoopi Goldberg,1955-11-13T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/Whoopi%20Comic%20Relief%20cropped.jpg,1659015
http://www.wikidata.org/entity/Q49319,Aloe Blacc,1979-01-07T00:00:00Z,http://www.wikidata.org/entity/Q268873,Newport Beach,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Aloe%20Blacc%20%40%20Sir%20Stewart%20Bovell%20Park%20%287%201%2012%29%20%286693047439%29.jpg,93480
http://www.wikidata.org/entity/Q49319,Aloe Blacc,1979-01-07T00:00:00Z,http://www.wikidata.org/entity/Q268873,Newport Beach,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Aloe%20Blacc%20%40%20Sir%20Stewart%20Bovell%20Park%20%287%201%2012%29%20%286693047439%29.jpg,633000
http://www.wikidata.org/entity/Q49847,Ray William Johnson,1981-08-14T00:00:00Z,http://www.wikidata.org/entity/Q34863,Oklahoma City,http://www.wikidata.org/entity/Q6581097,male,,1131217
http://www.wikidata.org/entity/Q49847,Ray William Johnson,1981-08-14T00:00:00Z,http://www.wikidata.org/entity/Q34863,Oklahoma City,http://www.wikidata.org/entity/Q6581097,male,,16500000
http://www.wikidata.org/entity/Q50825,Stan Ridgway,1954-04-05T00:00:00Z,http://www.wikidata.org/entity/Q499174,Barstow,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Stan%20Ridgway%20and%20a%20Harmony%20guitar.jpg,3190
http://www.wikidata.org/entity/Q52440,LL Cool J,1968-01-14T00:00:00Z,http://www.wikidata.org/entity/Q18424,Queens,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/LL%20Cool%20J%20in%202017.jpg,719000
http://www.wikidata.org/entity/Q53549,N.O.R.E.,1976-09-06T00:00:00Z,http://www.wikidata.org/entity/Q18424,Queens,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/N.O.R.E.jpg,394588
http://www.wikidata.org/entity/Q53549,N.O.R.E.,1976-09-06T00:00:00Z,http://www.wikidata.org/entity/Q18424,Queens,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/N.O.R.E.jpg,404529
http://www.wikidata.org/entity/Q53549,N.O.R.E.,1976-09-06T00:00:00Z,http://www.wikidata.org/entity/Q18424,Queens,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/N.O.R.E.jpg,445068
http://www.wikidata.org/entity/Q53549,N.O.R.E.,1976-09-06T00:00:00Z,http://www.wikidata.org/entity/Q18424,Queens,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/N.O.R.E.jpg,555461
http://www.wikidata.org/entity/Q53714,Chord Overstreet,1989-02-17T00:00:00Z,http://www.wikidata.org/entity/Q23197,Nashville,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Chord%20Overstreet.jpg,1054771
http://www.wikidata.org/entity/Q54858,Savannah Outen,1992-10-14T00:00:00Z,http://www.wikidata.org/entity/Q81824,Hillsboro,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/Disney%20Under%20the%20Stars%20Concert%20-%20Savannah%20Outen%20III.jpg,78582
http://www.wikidata.org/entity/Q54861,Anna Margaret,1996-06-12T00:00:00Z,http://www.wikidata.org/entity/Q54099,Lecompte,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/Anna%20Magraret%20%28April%202010%29%202.jpg,11983
http://www.wikidata.org/entity/Q54867,Trace Cyrus,1989-02-24T00:00:00Z,http://www.wikidata.org/entity/Q725562,Ashland,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Trace%20Cyrus%20Metro%20Station%202.jpg,16000
http://www.wikidata.org/entity/Q54867,Trace Cyrus,1989-02-24T00:00:00Z,http://www.wikidata.org/entity/Q725562,Ashland,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Trace%20Cyrus%20Metro%20Station%202.jpg,473154
http://www.wikidata.org/entity/Q54868,Noah Cyrus,2000-01-08T00:00:00Z,http://www.wikidata.org/entity/Q23197,Nashville,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/Noah%20Cyrus%20VMA%202018.jpg,615683
http://www.wikidata.org/entity/Q55449,Tay Zonday,1982-05-21T00:00:00Z,http://www.wikidata.org/entity/Q36091,Minneapolis,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Tay%20Zonday%20at%20the%202010%20Streamy%20Awards.jpg,510494
http://www.wikidata.org/entity/Q55449,Tay Zonday,1982-05-21T00:00:00Z,http://www.wikidata.org/entity/Q36091,Minneapolis,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Tay%20Zonday%20at%20the%202010%20Streamy%20Awards.jpg,1120000
http://www.wikidata.org/entity/Q55497,Jamie Lynn Spears,1991-04-04T00:00:00Z,http://www.wikidata.org/entity/Q846178,McComb,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/Jamie%20Lynn%20Spears%202023%20Interview%202.jpg,134000
http://www.wikidata.org/entity/Q55497,Jamie Lynn Spears,1991-04-04T00:00:00Z,http://www.wikidata.org/entity/Q846178,McComb,http://www.wikidata.org/entity/Q6581072,female,http://commons.wikimedia.org/wiki/Special:FilePath/Jamie%20Lynn%20Spears%202023%20Interview%202.jpg,495962
http://www.wikidata.org/entity/Q43432,Justin Timberlake,1981-01-31T00:00:00Z,http://www.wikidata.org/entity/Q16563,Memphis,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Justin%20Timberlake%20by%20Gage%20Skidmore%202.jpg,62610349
http://www.wikidata.org/entity/Q43874,Eddie Murphy,1961-04-03T00:00:00Z,http://www.wikidata.org/entity/Q18419,Brooklyn,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Eddie%20Murphy%20by%20David%20Shankbone.jpg,475000
http://www.wikidata.org/entity/Q43950,Jacob Artist,1992-10-17T00:00:00Z,http://www.wikidata.org/entity/Q40435,Buffalo,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Artist%20%28cropped%29.jpg,306176
http://www.wikidata.org/entity/Q44144,Chris Jericho,1970-11-09T00:00:00Z,http://www.wikidata.org/entity/Q286148,Manhasset,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Chris%20Jericho%2C%20December%202017%2001%20%28cropped2%29.png,227000
http://www.wikidata.org/entity/Q44144,Chris Jericho,1970-11-09T00:00:00Z,http://www.wikidata.org/entity/Q286148,Manhasset,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Chris%20Jericho%2C%20December%202017%2001%20%28cropped2%29.png,3616426
http://www.wikidata.org/entity/Q44570,John Lee Hooker,1917-08-22T00:00:00Z,http://www.wikidata.org/entity/Q990145,Clarksdale,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Lee%20Hooker%20two.jpg,134000
http://www.wikidata.org/entity/Q44707,Fred Durst,1970-08-20T00:00:00Z,http://www.wikidata.org/entity/Q16568,Jacksonville,http://www.wikidata.org/entity/Q6581097,male,http://commons.wikimedia.org/wiki/Special:FilePath/Fred%20Durst%202021%20%28cropped%29.jpg,1167702
